Timestamp,Prediction
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:24,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Not attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Not attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Attentive
13:29:25,Not attentive
13:29:25,Attentive
13:29:25,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:26,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:27,Not attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Not attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:29:28,Attentive
13:40:34,Attentive
13:40:34,Attentive
13:40:34,Attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Not attentive
13:40:34,Attentive
13:40:34,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Not attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:35,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:36,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:37,Attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Attentive
13:40:38,Attentive
13:40:38,Not attentive
13:40:38,Attentive
13:40:38,Attentive
13:40:38,Attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Not attentive
13:40:38,Attentive
13:40:38,Attentive
13:40:38,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Attentive
13:40:39,Not attentive
13:40:39,Attentive
13:40:39,Not attentive
13:40:39,Not attentive
13:40:39,Not attentive
13:40:39,Not attentive
13:40:39,Not attentive
13:40:40,Not attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:40,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Not attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Attentive
13:40:41,Not attentive
13:40:41,Not attentive
13:40:41,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:42,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:43,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Not attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:44,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Attentive
13:40:45,Not attentive
13:40:45,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Not attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:46,Attentive
13:40:47,Attentive
13:40:47,Attentive
13:40:47,Attentive
13:40:47,Attentive
13:40:47,Attentive
13:40:47,Attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:47,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Not attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:48,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Attentive
13:40:49,Not attentive
13:40:49,Not attentive
13:40:49,Not attentive
13:40:49,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:40:50,Attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:54,Not attentive
13:48:55,Not attentive
13:48:55,Not attentive
